"temperature","rr_fit","rr_low","rr_high","mmt"
-6.32673263549805,2.45508191842259,1.92500303889134,3.13112608364342,16.773267364502
-6.22673263549805,2.41736118177461,1.90531527405969,3.06701739219231,16.773267364502
-6.12673263549805,2.38059556367935,1.88601058586316,3.00487986668225,16.773267364502
-6.02673263549805,2.34475902382267,1.86708116467597,2.94464696222887,16.773267364502
-5.92673263549805,2.30982635238445,1.84851938270188,2.88625471179606,16.773267364502
-5.82673263549805,2.2757731417445,1.83031778873636,2.82964161991851,16.773267364502
-5.72673263549805,2.24257575924041,1.81246910304343,2.77474856122401,16.773267364502
-5.62673263549805,2.21021132093601,1.79496621234165,2.72151868353045,16.773267364502
-5.52673263549805,2.17865766636091,1.77780216489436,2.66989731530404,16.773267364502
-5.42673263549805,2.14789333418331,1.76097016569877,2.61983187727568,16.773267364502
-5.32673263549805,2.11789753877959,1.7444635717694,2.57127179802272,16.773267364502
-5.22673263549805,2.08865014766596,1.72827588751088,2.52416843333272,16.773267364502
-5.12673263549805,2.06013165975873,1.71240076017596,2.47847498917495,16.773267364502
-5.02673263549805,2.03232318443122,1.6968319754044,2.43414644811385,16.773267364502
-4.92673263549805,2.00520642133654,1.68156345283907,2.39113949900652,16.773267364502
-4.82673263549805,1.978763640967,1.6665892418157,2.349412469834,16.773267364502
-4.72673263549805,1.95297766592163,1.65190351712343,2.30892526352294,16.773267364502
-4.62673263549805,1.927831852855,1.63750057483388,2.26963929662094,16.773267364502
-4.52673263549805,1.90331007508131,1.62337482819684,2.23151744069471,16.773267364502
-4.42673263549805,1.8793967058087,1.60952080360191,2.19452396632596,16.773267364502
-4.32673263549805,1.85607660198015,1.59593313660619,2.15862448958491,16.773267364502
-4.22673263549805,1.83333508869782,1.58260656802941,2.12378592086582,16.773267364502
-4.12673263549805,1.81115794420898,1.56953594011914,2.08997641597319,16.773267364502
-4.02673263549805,1.78953138543241,1.55671619279076,2.05716532935048,16.773267364502
-3.92673263549805,1.76844205400494,1.54414235994866,2.02532316934638,16.773267364502
-3.82673263549805,1.7478770028289,1.53180956589762,1.99442155541568,16.773267364502
-3.72673263549805,1.72782368310158,1.5197130218562,1.96443317715362,16.773267364502
-3.62673263549805,1.70826993180904,1.5078480225875,1.93533175506321,16.773267364502
-3.52673263549805,1.68920395966698,1.49620994316624,1.90709200295535,16.773267364502
-3.42673263549805,1.67061433949223,1.48479423590626,1.87968959188044,16.773267364502
-3.32673263549805,1.65248999498895,1.47359642747731,1.85310111548886,16.773267364502
-3.22673263549805,1.63482018993456,1.46261211624671,1.82730405671468,16.773267364502
-3.12673263549805,1.61759451775051,1.45183696988813,1.80227675567328,16.773267364502
-3.02673263549805,1.60080289144426,1.44126672330779,1.77799837865893,16.773267364502
-2.92673263549805,1.58443553390868,1.43089717694744,1.75444888812209,16.773267364502
-2.82673263549805,1.56848296856619,1.42072419553325,1.73160901349951,16.773267364502
-2.72673263549805,1.55293601034521,1.41074370735022,1.70946022276193,16.773267364502
-2.62673263549805,1.53778575697692,1.40095170413367,1.68798469453551,16.773267364502
-2.52673263549805,1.52302358060106,1.39134424168068,1.66716529064361,16.773267364502
-2.42673263549805,1.50864111966968,1.38191744129659,1.64698552890591,16.773267364502
-2.32673263549805,1.49463027113832,1.37266749220304,1.62742955602286,16.773267364502
-2.22673263549805,1.4809831829346,1.36359065504369,1.60848212036538,16.773267364502
-2.12673263549805,1.46769224669437,1.35468326663203,1.59012854448425,16.773267364502
-2.02673263549805,1.45475009075616,1.34594174608881,1.57235469715152,16.773267364502
-1.92673263549805,1.44214957340498,1.33736260251567,1.55514696474982,16.773267364502
-1.82673263549805,1.42988377635684,1.32894244434244,1.53849222183595,16.773267364502
-1.72673263549805,1.41794599847571,1.32067799046692,1.52237780072524,16.773267364502
-1.62673263549805,1.40632974971499,1.31256608327592,1.50679145997533,16.773267364502
-1.52673263549805,1.39502874527596,1.30460370359115,1.49172135169417,16.773267364502
-1.42673263549805,1.3840368999757,1.29678798752261,1.4771559876598,16.773267364502
-1.32673263549805,1.37334832281765,1.28911624513287,1.46308420431987,16.773267364502
-1.22673263549805,1.36295731175794,1.28158598071816,1.44949512683766,16.773267364502
-1.12673263549805,1.35285834866106,1.27419491439769,1.43637813246735,16.773267364502
-1.02673263549805,1.34304609443863,1.26694100457381,1.42372281367088,16.773267364502
-0.92673263549805,1.33351538436528,1.25982247068926,1.41151894152671,16.773267364502
-0.82673263549805,1.32426122356603,1.25283781557116,1.39975643011791,16.773267364502
-0.72673263549805,1.31527878266946,1.24598584652745,1.38842530271258,16.773267364502
-0.62673263549805,1.30656339362159,1.23926569426216,1.37751566064964,16.773267364502
-0.52673263549805,1.29811054565527,1.23267682861684,1.36701765590276,16.773267364502
-0.42673263549805,1.28991588141033,1.22621907014071,1.35692146830147,16.773267364502
-0.32673263549805,1.28197519319971,1.21989259655253,1.34721728832842,16.773267364502
-0.22673263549805,1.27428441941721,1.21369794329019,1.33789530627987,16.773267364502
-0.12673263549805,1.26683964108257,1.20763599754876,1.32894570837222,16.773267364502
-0.0267326354980497,1.2596370785196,1.20170798547665,1.32035868010984,16.773267364502
0.0732673645019499,1.25267308816373,1.19591545251465,1.31212441691436,16.773267364502
0.17326736450195,1.2459441594949,1.19026023720132,1.30423314167798,16.773267364502
0.27326736450195,1.23944691209243,1.18474443910144,1.29667512857086,16.773267364502
0.37326736450195,1.23317809280824,1.17937038181166,1.28944073213551,16.773267364502
0.47326736450195,1.22713457305519,1.17414057223448,1.28252042046514,16.773267364502
0.57326736450195,1.22131334620743,1.1690576574654,1.27590481110941,16.773267364502
0.67326736450195,1.21571152510959,1.16412438070065,1.2695847082893,16.773267364502
0.77326736450195,1.2103263396921,1.15934353754101,1.26355114003528,16.773267364502
0.87326736450195,1.20515513468973,1.15471793395156,1.25779539397882,16.773267364502
0.97326736450195,1.20019536746083,1.150250346954,1.25230905071142,16.773267364502
1.07326736450195,1.19544460590474,1.14594348889853,1.24708401385515,16.773267364502
1.17326736450195,1.19090052647489,1.14179997590979,1.24211253624184,16.773267364502
1.27326736450195,1.18656091228549,1.13782230084767,1.23738724185215,16.773267364502
1.37326736450195,1.18242365130947,1.13401281088638,1.23290114340347,16.773267364502
1.47326736450195,1.17848673466578,1.13037368960879,1.22864765568267,16.773267364502
